Samples,Group,Time,Batch
AD1_OVA_d0,OVA,D0,AT
AD2_OVA_d0,OVA,D0,AT
AD4_OVA_d0,OVA,D0,AT
AD5_OVA_d0,OVA,D0,AT
AD15_BDC_d0,BDC,D0,AT
AD20_BDC_d0,BDC,D0,AT
AD11_BDC_d0,BDC,D0,AT
AD12_BDC_d0,BDC,D0,AT
AD13_BDC_d0,BDC,D0,AT
AD1_OVA_d10,OVA,D10,AT
AD2_OVA_d10,OVA,D10,AT
AD4_OVA_d10,OVA,D10,AT
AD5_OVA_d10,OVA,D10,AT
AD15_BDC_d10,BDC,D10,AT
AD20_BDC_d10,BDC,D10,AT
AD11_BDC_d10,BDC,D10,AT
AD12_BDC_d10,BDC,D10,AT
AD13_BDC_d10,BDC,D10,AT
