Gene_Symbol,NOD 1,NOD 2,NOD 3,NOD 4,NOD 5,NOD 6
Klhdc2,0.98984075,0.9544656,1.0265154,1.0101591,1.1738921,1.4146364
Pde6h,1.1664262,0.93219084,1.0678091,1.0907227,0.92688525,1.1266971
Rhoj,1.0359683,1.140293,1.1202189,0.849896,0.9640316,1.29755
4933427L07Rik,0.94822013,1.0745598,1.0002173,0.9997826,1.1206837,1.074355
Phtf2,0.967414,0.97009933,1.0299008,1.0596285,1.168029,1.2307656
Ogdh,1.1785207,1.0798529,0.95635873,0.7893013,1.0436413,1.1597333
A230051G13Rik,0.98050207,1.0856923,1.0194979,0.8864332,1.3057544,1.1296462
D15Ertd781e,0.9296812,1.0379648,0.9620352,1.0461555,1.0602313,1.3230423
Ghitm,1.027504,0.9954766,1.0045234,0.9044265,1.3460886,1.0752594
Klf1,0.98458284,1.0154171,1.1752132,0.869486,1.3329448,1.0897005
Sh3bgrl2,1.0107629,1.0933704,0.93620646,1.0670556,0.9892371,1.4372408
Glg1,0.98860157,1.0176404,1.0113984,0.9008051,1.091332,1.0953525
Fech,1.073349,1.2799127,1.2234503,0.87222326,1.1380569,0.926651
Faf1,0.95482594,1.0329634,1.0294012,0.9705988,1.2124485,1.2262837
6430559E15Rik,1.1390245,0.88302267,1.0272182,1.1158092,0.9727818,1.1670927
Tegt,0.8589628,0.97174233,1.2047027,1.049472,1.0282577,1.1539392
Eif5,1.0972701,1.1644338,1.0521626,0.93532026,1.2717729,0.9478373
Fhl1,1.0194201,1.0986553,0.9805799,1.0368897,0.9328764,1.1633155
P2rx1,0.9976823,1.22051,1.1128393,1.0023177,0.96457773,1.2127
Gapvd1,0.98960006,1.2561913,1.0065459,0.9934541,1.305739,1.0421945
Pttg1ip,1.0449717,1.1626735,1.1106586,0.9550284,0.9217925,1.0675709
Piga,0.94029635,1.0098836,1.0260888,0.9901163,1.1468414,1.238693
Mmd,1.0253035,1.0146096,0.90235746,1.0109072,0.9890928,1.0595527
